Test_Case_ID,Test_Case_Name,User_Story_ID,Acceptance_Criteria,Priority,Test_Category,Preconditions,Test_Steps,Expected_Results,UI_Elements,Test_Data,Post_Conditions,Notes
TC-US-001-POS-001,Login with Valid Credentials,US-001,AC1: Valid credentials allow login,High,Positive,User has valid account; Browser is open,"1. Navigate to ZIP login page|2. Enter valid username in username field|3. Enter valid password in password field|4. Click Login button","Login page loads successfully; Username field accepts input; Password field accepts input; Login button is enabled; User is redirected to main dashboard","username field; password field; login button","username: validuser; password: validpass123","User is logged in; Session is active","Primary happy path test for login functionality"
TC-US-001-NEG-001,Login with Invalid Username,US-001,AC1: Valid credentials allow login,High,Negative,User has account; Browser is open,"1. Navigate to ZIP login page|2. Enter invalid username in username field|3. Enter valid password in password field|4. Click Login button","Login page loads successfully; Username field accepts input; Password field accepts input; Login button is enabled; Error message displays: 'Invalid credentials'","username field; password field; login button; error message area","username: invaliduser; password: validpass123","User remains on login page; Session not created","Test invalid username handling"
TC-US-001-NEG-002,Login with Invalid Password,US-001,AC1: Valid credentials allow login,High,Negative,User has account; Browser is open,"1. Navigate to ZIP login page|2. Enter valid username in username field|3. Enter invalid password in password field|4. Click Login button","Login page loads successfully; Username field accepts input; Password field accepts input; Login button is enabled; Error message displays: 'Invalid credentials'","username field; password field; login button; error message area","username: validuser; password: wrongpass123","User remains on login page; Session not created","Test invalid password handling"
TC-US-001-NEG-003,Login with Empty Username,US-001,AC1: Valid credentials allow login,Medium,Negative,Browser is open,"1. Navigate to ZIP login page|2. Leave username field empty|3. Enter valid password in password field|4. Click Login button","Login page loads successfully; Username field shows validation error; Password field accepts input; Login button is disabled","username field; password field; login button","username: ; password: validpass123","User remains on login page; Session not created","Test required field validation"
TC-US-001-NEG-004,Login with Empty Password,US-001,AC1: Valid credentials allow login,Medium,Negative,User has account; Browser is open,"1. Navigate to ZIP login page|2. Enter valid username in username field|3. Leave password field empty|4. Click Login button","Login page loads successfully; Username field accepts input; Password field shows validation error; Login button is disabled","username field; password field; login button","username: validuser; password: ","User remains on login page; Session not created","Test required field validation"
TC-US-001-UI-001,Login Form Field Focus and Tab Order,US-001,AC1: Valid credentials allow login,Low,UI_Elements,Browser is open,"1. Navigate to ZIP login page|2. Click in username field|3. Press Tab key|4. Verify focus moves to password field|5. Press Tab key|6. Verify focus moves to Login button","Login page loads successfully; Username field receives focus; Focus moves to password field; Focus moves to Login button","username field; password field; login button","","User remains on login page","Test keyboard navigation"
TC-US-002-POS-001,Navigate to 3222 Interface and Select Customer,US-002,AC2: Navigate to 3222 interface,High,Positive,User is logged in; Has access to 3222 interface,"1. From main dashboard, navigate to 3222 interface|2. Verify 3222 interface loads|3. Click customer selection dropdown|4. Select valid customer from dropdown|5. Verify customer is selected","3222 interface loads successfully; Customer dropdown is populated; Customer selection works; Selected customer displays","3222 interface; customer dropdown; select button","customer: TEST_CUSTOMER_001","Customer is selected; Interface ready for policy creation","Test main navigation flow"
TC-US-002-POS-002,Add New Policy with LOB 057 SBU SP,US-002,AC3: Add policy with specific parameters,High,Positive,Customer is selected in 3222 interface,"1. Click Add Policy button|2. Select LOB dropdown|3. Choose LOB = 057|4. Select SBU dropdown|5. Choose SBU = SP|6. Select Policy Type dropdown|7. Choose PolicyType = AH|8. Select Target Market dropdown|9. Choose TargetMarket = VIC|10. Click Save Policy","Policy creation form loads; All dropdowns are populated; LOB 057 selected; SBU SP selected; PolicyType AH selected; TargetMarket VIC selected; Policy saves successfully","LOB dropdown; SBU dropdown; PolicyType dropdown; TargetMarket dropdown; Save button","LOB: 057; SBU: SP; PolicyType: AH; TargetMarket: VIC","New policy is created; Policy number generated","Test policy creation with specific parameters"
TC-US-002-NEG-001,Add Policy with Invalid LOB,US-002,AC3: Add policy with specific parameters,Medium,Negative,Customer is selected in 3222 interface,"1. Click Add Policy button|2. Select LOB dropdown|3. Choose invalid LOB value|4. Attempt to save policy","Policy creation form loads; LOB dropdown shows error; Save button is disabled; Error message: 'Invalid LOB for this customer'","LOB dropdown; Save button; error message area","LOB: INVALID_LOB","Policy not created; User remains on form","Test LOB validation"
TC-US-002-NEG-002,Add Policy with Missing Required Fields,US-002,AC3: Add policy with specific parameters,Medium,Negative,Customer is selected in 3222 interface,"1. Click Add Policy button|2. Leave LOB field empty|3. Leave SBU field empty|4. Leave PolicyType field empty|5. Leave TargetMarket field empty|6. Attempt to save policy","Policy creation form loads; All required fields show validation errors; Save button is disabled","LOB dropdown; SBU dropdown; PolicyType dropdown; TargetMarket dropdown; Save button","","Policy not created; User remains on form","Test required field validation for policy creation"
